state,age,gender,married,education,urban_rural,race,citizen,personal_income
AR,31,male,married,no_degree,rural,white,1,78000
AR,57,male,married,no_degree,rural,white,1,51000
AR,28,male,married,no_degree,rural,NA,0,20000
AR,46,male,married,college_degree,rural,white,1,50000
AR,28,female,unmarried,college_degree,urban,white,1,15600
AR,59,male,unmarried,no_degree,rural,black,1,70000
AR,30,female,unmarried,college_degree,rural,white,1,25000
AR,68,female,married,no_degree,rural,NA,1,46000
AR,41,male,married,no_degree,rural,white,1,50000
AR,40,female,married,college_degree,urban,asian,0,90000
AR,46,male,married,no_degree,rural,white,1,50000
AR,26,male,unmarried,no_degree,rural,white,1,18100
AR,47,female,unmarried,no_degree,rural,white,1,7000
AR,51,male,married,no_degree,urban,white,1,45700
AR,32,female,married,no_degree,rural,white,1,41000
AR,30,female,married,no_degree,urban,white,1,27599.999999999996
AR,51,male,married,college_degree,rural,white,1,35000
AR,31,female,married,college_degree,rural,white,1,42000
AR,45,male,married,no_degree,rural,white,1,41030
AR,30,male,married,no_degree,rural,white,1,64000
AR,38,female,unmarried,no_degree,rural,white,1,64000
AR,56,female,married,college_degree,rural,white,1,87200
AR,71,male,married,college_degree,urban,white,1,44500
AR,57,female,unmarried,no_degree,rural,black,1,36000
AR,32,male,married,no_degree,urban,white,1,60000
AR,43,male,married,no_degree,rural,white,1,24000
AR,72,male,unmarried,college_degree,urban,white,1,70700
AR,62,female,married,no_degree,urban,white,1,44000
AR,52,female,married,no_degree,rural,white,1,24000
AR,46,male,married,college_degree,rural,white,1,42000
AR,33,male,married,no_degree,rural,white,1,45000
AR,63,male,married,college_degree,urban,white,1,116000
AR,52,male,married,college_degree,urban,white,1,402000
CA,30,male,unmarried,college_degree,urban,asian,1,220000
CA,85,female,unmarried,no_degree,urban,white,1,3900
CA,24,male,unmarried,no_degree,urban,white,1,22000
CA,29,male,unmarried,no_degree,urban,white,1,26300
CA,41,female,married,college_degree,urban,white,1,100000
CA,74,male,unmarried,college_degree,urban,asian,1,1500
CA,48,male,married,no_degree,urban,NA,1,56000
CA,38,male,unmarried,no_degree,urban,white,0,25000
CA,49,male,married,college_degree,urban,asian,1,86000
CA,51,male,married,college_degree,urban,white,1,50000
CA,41,female,unmarried,college_degree,urban,NA,1,2600
CA,34,female,unmarried,college_degree,urban,white,1,50000
CA,50,male,unmarried,no_degree,urban,asian,1,7500
CA,46,male,unmarried,college_degree,urban,white,1,160000
CA,33,male,married,no_degree,urban,NA,1,42000
CA,52,female,married,no_degree,urban,white,1,105000
CA,59,female,married,college_degree,urban,white,1,120000
CA,34,male,married,no_degree,urban,white,0,26000
CA,55,female,married,no_degree,urban,white,1,53000
CA,38,male,married,college_degree,urban,asian,1,121600
CA,58,male,unmarried,no_degree,urban,white,1,20000
CA,31,male,married,no_degree,urban,white,1,50000
CA,44,female,unmarried,no_degree,urban,asian,1,3500
CA,27,male,married,no_degree,urban,NA,1,30000
CA,54,female,married,college_degree,urban,black,1,82000
CA,34,male,unmarried,college_degree,urban,white,1,130000
CA,68,female,married,no_degree,urban,asian,1,19800
CA,29,male,married,college_degree,urban,asian,1,83000
CA,53,female,married,no_degree,urban,asian,1,45000
CA,39,female,married,college_degree,urban,white,1,75000
CA,39,male,unmarried,no_degree,urban,white,1,100000
CA,25,female,unmarried,college_degree,urban,white,1,89000
CA,58,female,married,no_degree,rural,white,1,26000
CA,36,male,unmarried,no_degree,urban,white,1,24000
CA,65,male,married,no_degree,urban,white,1,47200
CA,24,female,unmarried,no_degree,urban,white,1,23000
CA,56,male,married,no_degree,urban,asian,0,100000
CA,33,female,married,college_degree,urban,white,1,24000
CA,39,male,unmarried,no_degree,urban,NA,0,51000
CA,35,female,unmarried,no_degree,urban,white,1,50000
CA,32,male,married,no_degree,urban,NA,1,60001
CA,37,male,married,no_degree,urban,white,1,116000
CA,51,male,married,college_degree,urban,white,1,60030
CA,35,female,unmarried,no_degree,urban,NA,1,40000
CA,54,male,unmarried,college_degree,urban,white,1,142000
CA,62,male,married,no_degree,urban,NA,0,58000
CA,33,female,married,no_degree,urban,NA,0,4800
CA,44,male,married,college_degree,urban,asian,1,150000
CA,34,male,married,college_degree,rural,asian,1,80000
CA,35,male,unmarried,no_degree,urban,white,1,40010
CA,65,female,married,college_degree,rural,white,1,90300
CA,30,male,married,no_degree,urban,white,1,30000
CA,30,female,married,no_degree,urban,NA,1,19000
CA,57,male,married,no_degree,urban,white,1,70020
CA,30,female,unmarried,college_degree,urban,white,1,49000
CA,50,male,married,no_degree,urban,white,1,23000
CA,56,male,married,college_degree,urban,white,1,168000
CA,46,female,married,college_degree,urban,white,1,80100
CA,57,male,married,college_degree,urban,white,1,140000
CA,44,male,unmarried,no_degree,urban,white,1,1500
CA,59,male,married,no_degree,urban,white,1,16200.000000000002
CA,55,male,unmarried,no_degree,urban,NA,1,60000
CA,60,male,unmarried,college_degree,urban,white,1,128500
CA,45,male,married,no_degree,urban,black,1,80000
CA,60,female,unmarried,college_degree,urban,asian,1,65000
CA,32,male,unmarried,no_degree,urban,asian,1,65000
CA,56,female,married,college_degree,urban,asian,1,89000
CA,24,male,unmarried,college_degree,urban,white,1,12000
CA,60,female,married,no_degree,urban,NA,0,23000
CA,50,female,unmarried,college_degree,urban,white,1,458000
CA,63,female,married,no_degree,urban,NA,1,22599.999999999996
CA,34,female,unmarried,no_degree,urban,asian,1,53000
CA,65,male,married,no_degree,urban,white,1,84000
CA,63,male,married,no_degree,urban,white,1,48550.00000000001
CA,41,female,married,no_degree,urban,NA,0,40000
CA,30,male,married,college_degree,rural,white,1,30000
CA,50,male,married,no_degree,urban,NA,1,24000
CA,29,male,married,no_degree,urban,white,1,100000
CA,56,male,married,college_degree,urban,white,1,75000
CA,46,female,unmarried,no_degree,urban,white,1,36000
CA,27,male,unmarried,college_degree,urban,white,1,235000
CA,25,male,unmarried,college_degree,urban,NA,1,9000
CA,24,female,unmarried,no_degree,urban,white,1,15000
CA,45,female,unmarried,no_degree,urban,white,1,10000
CA,35,female,unmarried,no_degree,urban,black,1,30000
CA,34,female,unmarried,no_degree,urban,NA,1,63000
CA,54,male,married,no_degree,urban,asian,1,37000
CA,53,female,married,no_degree,urban,NA,1,2200
CA,32,male,married,no_degree,rural,NA,1,52000
CA,49,male,married,no_degree,urban,asian,1,26200
CA,35,male,married,college_degree,urban,white,1,36000
CA,62,male,married,no_degree,urban,asian,1,52200
CA,46,female,married,college_degree,urban,asian,1,72000
CA,44,male,married,no_degree,urban,indigenous,1,74000
CA,28,male,unmarried,college_degree,urban,white,1,57000
CA,60,female,married,college_degree,urban,white,1,55000
CA,63,female,married,college_degree,urban,white,1,95000
CA,26,male,unmarried,college_degree,urban,asian,1,58000
CA,60,male,married,no_degree,urban,white,1,31400
CA,31,male,married,college_degree,urban,NA,1,45000
CA,37,female,married,no_degree,urban,white,0,10000
CA,43,male,married,college_degree,urban,white,1,80000
CA,46,female,married,no_degree,urban,NA,1,28400
CA,30,male,married,no_degree,urban,NA,1,60000
CA,54,male,married,no_degree,urban,white,1,32000
CA,32,female,unmarried,college_degree,urban,white,1,40000
CA,45,male,unmarried,no_degree,urban,NA,1,20000
CA,47,female,married,college_degree,urban,white,1,60000
CA,30,female,unmarried,no_degree,urban,white,1,19200
CA,41,female,married,college_degree,urban,asian,1,100000
CA,58,male,married,no_degree,urban,white,1,43200
CA,31,male,unmarried,college_degree,urban,asian,1,40000
CA,39,female,married,college_degree,urban,white,1,41400
CA,26,male,unmarried,no_degree,urban,white,1,98000
CA,37,male,married,college_degree,urban,asian,1,86000
CA,38,female,married,college_degree,urban,white,1,43700
CA,26,male,unmarried,no_degree,urban,asian,1,4150
CA,57,male,married,no_degree,urban,NA,1,36000
CA,53,male,married,college_degree,urban,asian,1,53000
CA,36,female,unmarried,no_degree,urban,black,1,25000
CA,37,female,married,no_degree,urban,white,1,60000
CA,55,female,married,no_degree,urban,white,1,36000
CA,31,male,married,college_degree,urban,white,0,120000
CA,53,male,unmarried,no_degree,urban,white,1,100000
CA,40,male,married,college_degree,urban,white,1,571200
CA,44,female,married,no_degree,urban,asian,1,161700.00000000003
CA,29,female,unmarried,college_degree,urban,asian,0,30000
CA,30,male,married,no_degree,urban,white,1,12000
CA,43,male,married,no_degree,urban,white,1,85000
CA,24,male,married,no_degree,urban,white,1,40000
CA,45,male,unmarried,no_degree,urban,NA,1,50000
CA,49,female,married,no_degree,urban,white,1,43000
CA,37,male,married,college_degree,urban,white,1,100000
CA,33,female,married,college_degree,urban,asian,1,43000
CA,32,male,unmarried,no_degree,urban,NA,1,10000
CA,43,female,unmarried,no_degree,urban,white,1,67000
CA,64,male,unmarried,college_degree,urban,white,1,24000
CA,52,male,married,no_degree,urban,white,0,15000
CA,62,male,married,college_degree,rural,white,1,72000
CA,56,male,unmarried,no_degree,urban,white,1,44000
CA,44,female,unmarried,no_degree,urban,NA,1,25000
CA,49,male,married,no_degree,urban,NA,1,41000
CA,31,male,married,college_degree,urban,asian,0,180000
CA,53,male,married,no_degree,urban,NA,1,95000
CA,35,male,unmarried,college_degree,urban,asian,1,120000
CA,39,female,married,no_degree,urban,asian,0,20000
CA,27,male,unmarried,no_degree,urban,white,1,41000
CA,24,male,unmarried,college_degree,urban,white,1,18000
CA,25,male,unmarried,no_degree,urban,white,1,38000
CA,47,female,married,college_degree,urban,white,1,100500
CA,61,male,unmarried,no_degree,urban,white,1,7000
CA,51,male,married,no_degree,urban,white,0,32000
CA,39,male,unmarried,no_degree,urban,NA,0,16000
CA,36,female,married,college_degree,urban,white,1,12000
CA,36,female,married,college_degree,urban,white,1,100000
CA,34,male,married,college_degree,urban,white,1,44000
CA,32,female,unmarried,no_degree,urban,white,1,20000
CA,43,male,unmarried,college_degree,urban,white,1,504000
CA,56,male,unmarried,college_degree,urban,asian,1,117000
CA,49,female,married,no_degree,urban,asian,1,23000
CA,37,male,unmarried,no_degree,urban,NA,0,28500
CA,37,male,married,no_degree,urban,white,1,50000
CA,32,male,married,college_degree,urban,asian,0,48000
CA,51,female,unmarried,no_degree,urban,white,1,78000
CA,34,male,married,no_degree,urban,white,1,67000
CA,58,female,married,college_degree,urban,white,1,106000
CA,55,male,unmarried,no_degree,urban,black,1,95000
CA,27,male,unmarried,no_degree,urban,NA,1,12000
CA,51,male,married,no_degree,urban,white,1,65000
CA,42,female,married,college_degree,urban,asian,0,75000
CA,57,female,married,college_degree,urban,white,1,35100
CA,62,female,married,college_degree,urban,black,1,72000
CA,47,female,married,college_degree,urban,white,1,74100
CA,54,female,unmarried,college_degree,urban,white,1,125000
CA,34,male,married,no_degree,urban,white,1,50000
CA,52,male,married,no_degree,urban,white,1,106199.99999999999
CA,32,female,unmarried,no_degree,urban,white,1,4800
